Fine_Oil_Filter_1,Shaft_seal_damaged_1,Gear_pump_wear_1,Gear_pump_1,Breakdown_shutdown_1,Oil_leak_1,Iron_filings_1,Pressure_difference_1
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,劣化,劣化,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,故障,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,劣化,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,劣化,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,故障,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,劣化,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,故障,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,正常,发生,未发生,发生,正常
正常,未发生,未发生,正常,发生,未发生,未发生,正常
正常,未发生,未发生,劣化,发生,未发生,未发生,正常
